Products,Reactant,Sentence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimethyl malonate,methyl chloroacetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitromethane,nitric acid,"== preparation ==
nitromethane is produced industrially by treating propane with nitric acid at 350?€?450 ??c (662?€?842 ??f).","==== nitromethane exhaust ====
exhaust gas from an internal combustion engine whose fuel includes nitromethane will contain nitric acid vapour, which is corrosive, and when inhaled causes a muscular reaction making it impossible to breathe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonylphenol,propene trimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium dodecylbenzenesulfonate,benzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyclohexanone oxime,cyclohexanone,cyclohexanone oxime is an organic compound containing the functional group oxime.,"== preparation ==
cyclohexanone oxime can be prepared from the condensation reaction between cyclohexanone and hydroxylamine:
c5h10co + h2noh ??? c5h10c=noh + h2o
alternatively, another industrial route involves the reaction of cyclohexane with nitrosyl c","== reactions ==
the most famous and commercially important reaction of cyclohexanone oxime is its beckmann rearrangement yielding ??-caprolactam:

this reaction is catalyzed by sulfuric acid, but industrial scale reactions use solid acids.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zinc oxide,zinc oxide ores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isopropylamine,ammonia,"pka of protonated form is 10.63
isopropylamine can be obtained by aminating isopropyl alcohol with ammonia in presence of a nickel/copper or similar catalyst:
(ch3)2choh + nh3 ??? (ch3)2chnh2 + h2o
the main uses of isopropylamine are in glyphosate herbicide formulations, a key component of atrazine (another herbicide), a regulating agent for plastics, intermediate in organic synthesis of coating materials, plastics, pesticides, rubber chemicals, pharmaceuticals and others, and as an additive in the petroleum industry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terephthalic acid,p-xylene,terephthalic acid was produced by oxidation of p-xylene with dilute nitric acid.,"== production ==


=== amoco process ===
in the amoco process, terephthalic acid is produced by oxidation of p-xylene by oxygen in air:

the process uses a cobalt-manganese-bromide catalyst.","the following are the proposed initiation, propagation and terminations steps for the first of four oxidations involved in the autoxidation:

the radical chain reaction proceeds through a series of intermediates, starting with the oxidation of p-xylene to p-tolualdehyde (tald), then p-toluic acid (pt), 4-carboxybenzaldehyde (4-cba), and finally to the terephthalic acid (ta) product.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrogen cyanide,methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetanilide,acetic anhydride,"== preparation and properties ==
acetanilide can be produced by reacting acetic anhydride with aniline:
c6h5nh2 + (ch3co)2o ??? c6h5nhcoch3 + ch3cooh
the preparation used to be a traditional experiment in introductory organic chemistry lab classes, but it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tert-butyl alcohol,isobutylene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-xylene,toluene,"== production ==
the production of p-xylene is industrially significant world-wide, with annual demand estimated at 37 million tons in 2014, and still on the increase.p-xylene is produced by catalytic reforming of petroleum naphtha as part of the btx arom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urea,ammonia,the liver forms it by combining two ammonia molecules (nh3) with a carbon dioxide (co2) molecule in the urea cycle.,"many soil bacteria possess the enzyme urease, which catalyzes conversion of urea to ammonia or ammonium ion and bicarbonate ion.","during summer, urea is often spread just before or during rain to minimize losses from volatilization (a process wherein nitrogen is lost to the atmosphere as ammonia gas).",the ammonia produced by the hydrolysis of the urea reacts with the nitrogen oxide emissions and is converted into nitrogen and water within the catalytic converter.,"the test detects the characteristic enzyme urease, produced by h. pylori, by a reaction that produces ammonia from urea.","because ammonia is toxic, it is excreted immediately by fish, converted into uric acid by birds, and converted into urea by mammals.","ammonia is smaller, more volatile and more mobile than urea.","therefore, many organisms convert ammonia to urea, even though this synthesis has a net energy cost.","urea is synthesized in the body of many organisms as part of the urea cycle, either from the oxidation of amino acids or from ammonia.","in this cycle, amino groups donated by ammonia and l-aspartate are converted to urea, while l-ornithine, citrulline, l-argininosuccinate, and l-arginine act as intermediates.","=== other species ===
in aquatic organisms the most common form of nitrogen waste is ammonia, whereas land-dwelling organisms convert the toxic ammonia to either urea or uric acid.",it is noteworthy that tadpoles excrete ammonia but shift to urea production during metamorphosis.,"== analysis ==
urea is readily quantified by a number of different methods, such as the diacetyl monoxime colorimetric method, and the berthelot reaction (after initial conversion of urea to ammonia via urease).","=== industrial methods ===
for use in industry, urea is produced from synthetic ammonia and carbon dioxide.","as large quantities of carbon dioxide are produced during the ammonia manufacturing process as a byproduct from hydrocarbons (predominantly natural gas, less often petroleum derivatives), or occasionally from coal, urea production plants are almost always located adjacent to the site where the ammonia is manufactured.","although natural gas is both the most economical and the most widely available ammonia plant feedstock, plants using it do not produce quite as much carbon dioxide from the process as is needed to convert their entire ammonia output into urea.","the first is carbamate formation: the fast exothermic reaction of liquid ammonia with gaseous carbon dioxide (co2) at high temperature and pressure to form ammonium carbamate (h2n-coonh4):
2nh3 + co2 ??? h2n-coonh4
the second is urea conversion: the slower endothermic decomposition of ammonium carbamate into urea and water:
h2n-coonh4 ??? (nh2)2co + h2o
the overall conversion of nh3 and co2 to urea is exothermic, the reaction heat from the first reaction driving the second.","in early ""straight-through"" urea plants this was done by letting down the system pressure to atmospheric to let the carbamate decompose back to ammonia and carbon dioxide.",biuret is formed when two molecules of urea combine with the loss of a molecule of ammonia.,"also, urea is produced when phosgene reacts with ammonia:
cocl2 + 4 nh3 ??? (nh2)2co + 2 nh4cl
urea is byproduct of converting alkyl halides to thiols via a s-alkylation of thiourea.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-nitroaniline,4-chloronitrobenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydrazine,ammonia,"=== oxidation by chloroamine from hypochlorite on ammonia ===
hydrazine is produced in the olin raschig process from sodium hypochlorite (the active ingredient in many bleaches) and ammonia, a process announced in 1907.","=== oxidation by oxaziridine from peroxide on ammonia ===
hydrazine can be synthesized from ammonia and hydrogen peroxide in the peroxide process (sometimes called pechiney-ugine-kuhlmann process, the atofina?€?pcuk cycle, or ketazine process).","the net reaction follows:
2 nh3 + h2o2 ??? h2n-nh2 + 2 h2o
in this route, hydrazine is produced in several steps from ammonia, hydrogen peroxide, and a ketone such as acetone or methylethyl ketone.","in all hydrazine monopropellant engines, the hydrazine is passed by a catalyst such as iridium metal supported by high-surface-area alumina (aluminium oxide) or carbon nanofibers, or more recently molybdenum nitride on alumina, which causes it to decompose into ammonia, nitrogen gas, and hydrogen gas according to the following reactions:
3 n2h4 ??? 4 nh3 + n2
n2h4 ??? n2 + 2 h2
4 nh3 + n2h4 ??? 3 n2 + 8 h2
reactions 1 and 2 are extremely exothermic (the catalyst chamber can reach 800 ??c in a matter of milliseconds,) and they produce large volumes of hot gas from a small volume of liquid, making hydrazine a fairly efficient thruster propellant with a vacuum specific impulse of about 220 seconds.",hydrazine has basic (alkali) chemical properties comparable to those of ammonia.,"it is difficult to diprotonate:
[n2h5]+ + h2o ??? [n2h6]2+ + oh??? kb = 8.4 x 10???16
with the values:
kb = 1.3 x 10???6
pka = 8.1
(for ammonia kb = 1.78 x 10???5)


==== redox reactions ====
the heat of combustion of hydrazine in oxygen (air) is 1.941 x 107 j/kg (9345 btu/lb).","=== biochemistry ===
hydrazine is the intermediate in the anaerobic oxidation of ammonia (anammox) process.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium bisulfate,sodium chloride,"sodium bisulfate is an acid salt formed by partial neutralization of sulfuric acid by an equivalent of sodium base, typically either in the form of sodium hydroxide or sodium chloride.","naoh + h2so4 ??? nahso4 + h2o
a second production method involves reacting sodium chloride (salt) and sulfuric acid at elevated temperatures to produce sodium bisulfate and hydrogen chloride gas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acetonitrile,acrylonitrile,"== production ==

acetonitrile is a by-product from the manufacture of acrylonitrile.",production trends for acetonitrile thus generally follow those of acrylonitrile.,"because acetonitrile is a byproduct in the production of acrylonitrile, its production also decreased.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylene bromide,ethylene,"=== reagent ===
ethylene bromide has wider applications in the preparation of other organic compounds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammonium hydrogen carbonate,carbon dioxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethyl sulfide,ethylene   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethylene glycol,ethylene oxide,"== structure of deg and related polyols ==
diethylene glycol is one of several glycols derived from ethylene oxide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dipropylene glycol,propylene oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calcium oxide,calcium carbonate,"== preparation ==

calcium oxide is usually made by the thermal decomposition of materials, such as limestone or seashells, that contain calcium carbonate (caco3; mineral calcite) in a lime kiln.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
propionic acid,ethylene,"== production ==
in industry, propionic acid is mainly produced by the hydrocarboxylation of ethylene using nickel carbonyl as the catalyst:
h2c=ch2 + h2o + co ??? ch3ch2co2h
it is also produced by the aerobic oxidation of propionaldehyde.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl formate,methanol,"== production ==
in the laboratory, methyl formate can be produced by the condensation reaction of methanol and formic acid, as follows:
hcooh + ch3oh ??? hcooch3 + h2o
industrial methyl formate, however, is usually produced by the combination of methanol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methyl acetate,methanol,"== preparation and reactions ==
methyl acetate is produced industrially via the carbonylation of methanol as a byproduct of the production of acetic acid.","methyl acetate also arises by esterification of acetic acid with methanol in the presence of strong acids such as sulfuric acid, this production process is famous because of eastman kodak's intensified process using a reactive distillation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium sulfide,sodium sulfate,"== reactions with inorganic reagents ==
the dissolution process can be described as follows:
s???2 + h2o ??? hs??? + oh???
sodium sulfide can oxidize when heated to sodium carbonate and sulfur dioxide:
2 na2s + 3 o2 + 2 co2 ??? 2 na2co3 + 2 so2
oxidation ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-aminosalicylic acid,3-aminophenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sodium,sodium hydroxide,sodium was first isolated by humphry davy in 1807 by the electrolysis of sodium hydroxide.,"among many other useful sodium compounds, sodium hydroxide (lye) is used in soap manufacture, and sodium chloride (edible salt) is a de-icing agent and a nutrient for animals including humans.",the reaction produces caustic soda (sodium hydroxide) and flammable hydrogen gas.,"although sodium, sometimes called soda, had long been recognized in compounds, the metal itself was not isolated until 1807 by sir humphry davy through the electrolysis of sodium hydroxide.",a related process based on the reduction of sodium hydroxide was developed in 1886.,this method is less expensive than the previous castner process (the electrolysis of sodium hydroxide).,"== safety and precautions ==
sodium forms flammable hydrogen and caustic sodium hydroxide on contact with water; ingestion and contact with moisture on skin, eyes or mucous membranes can cause severe burns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-chloroaniline,4-chloronitrobenzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citronellol,nerol ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hydroxylamine,nitric oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fumaric acid,maleic acid,in fumaric acid the carboxylic acid groups are trans (e) and in maleic acid they are cis (z).,"currently, industrial synthesis of fumaric acid is mostly based on catalytic isomerisation of maleic acid in aqueous solutions at low ph.",fumaric acid does not combust in a bomb calorimeter under conditions where maleic acid deflagrates smoothly.,"== see also ==
dermatology
photosynthesis
maleic acid, the cis-isomer of fumaric acid


== references ==


== external links ==
international chemical safety card 1173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-aminophenol,2-nitrophenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m-xylene,toluene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
copper gluconate,gluconic acid,copper gluconate is the copper salt of d-gluconic acid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gluconic acid,glucose,"gluconic acid, gluconate salts, and gluconate esters occur widely in nature because such species arise from the oxidation of glucose.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aminopyridine,pyridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sulfur monochloride,octasulfur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trichloroacetaldehyde,acetaldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-dichlorobenzene,benzene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetrachloromethane,methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2,3-trichloropropane",propene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzyl alcohol,toluene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benzyl chloride,toluene,"== preparation ==
benzyl chloride is prepared industrially by the gas-phase photochemical reaction of toluene with chlorine:
c6h5ch3 + cl2 ??? c6h5ch2cl + hcl
in this way, approximately 100,000 tonnes are produced annually.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diethyl chlorophosphate,diethyl phosphite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
