dimethyl malonate,methyl chloroacetate,"in terms of reactivity and appearance, sodium dichromate and potassium dichromate are very similar.","for example, methyl dihydrojasmonate, sold under the tradename hedione by firmenich, is synthesized from cyclopentanone, pentanal, and dimethyl malonate.",dimethyl malonate is used extensively in the fragrance industry as a raw material in the synthesis of jasmonates.,hebei chengxin is the world's largest producer of dimethyl malonate by volume and uses a chloroacetic acid/sodium cyanide process developed in the 1940s.,sebacic acid is a naturally occurring dicarboxylic acid with the structure (hooc)(ch2)8(cooh).
nitromethane,nitric acid,"nitromethane was not known to be a high explosive until a railroad tanker car loaded with it exploded on june 1, 1958.",a small amount of hydrazine blended in nitromethane can increase the power output even further.,"4 ch3no2 + 3 o2 → 4 co2 + 6 h2o + 2 n2 the amount of air required to burn 1 kg (2.2 lb) of gasoline is 14.7 kg (32 lb), but only 1.7 kg (3.7 lb) of air is required for 1 kg of nitromethane.","nitromethane can also be mixed with ammonium nitrate, which is used as an oxidizer, to form an explosive mixture known as annm.","in more specialized organic synthesis, nitromethane serves as a michael donor, adding to α,β-unsaturated carbonyl compounds via 1,4-addition in the michael reaction."
nonylphenol,propene trimer,"these compounds are also precursors to the commercially important non-ionic surfactants alkylphenol ethoxylates and nonylphenol ethoxylates, which are used in detergents, paints, pesticides, personal care products, and plastics.",nonylphenol can cause endocrine disruption in fish by interacting with estrogen receptors and androgen receptors.,"in addition, early prenatal exposure to low doses of nonylphenol cause an increase in apoptosis, cell death, in placental cells.","nonylphenol is used in manufacturing antioxidants, lubricating oil additives, laundry and dish detergents, emulsifiers, and solubilizers.","in order to do so, the epa is supporting and encouraging a voluntary phase-out of nonylphenol in industrial laundry detergents."
sodium dodecylbenzenesulfonate,benzene,"nonylphenol is used in manufacturing antioxidants, lubricating oil additives, laundry and dish detergents, emulsifiers, and solubilizers.","in addition, early prenatal exposure to low doses of nonylphenol cause an increase in apoptosis, cell death, in placental cells.","further complicating the description of the commercial materials, sodium dodecylbenzenesulfonate is one component of a mixture of compounds that feature variable alkyl chain lengths aside from c12, mainly ranging from c10-c16.","these compounds are also precursors to the commercially important non-ionic surfactants alkylphenol ethoxylates and nonylphenol ethoxylates, which are used in detergents, paints, pesticides, personal care products, and plastics.",nonylphenol can cause endocrine disruption in fish by interacting with estrogen receptors and androgen receptors.
cyclohexanone oxime,cyclohexanone,"these compounds are also precursors to the commercially important non-ionic surfactants alkylphenol ethoxylates and nonylphenol ethoxylates, which are used in detergents, paints, pesticides, personal care products, and plastics.","in addition, early prenatal exposure to low doses of nonylphenol cause an increase in apoptosis, cell death, in placental cells.",nonylphenol can cause endocrine disruption in fish by interacting with estrogen receptors and androgen receptors.,"nonylphenol is used in manufacturing antioxidants, lubricating oil additives, laundry and dish detergents, emulsifiers, and solubilizers.","further complicating the description of the commercial materials, sodium dodecylbenzenesulfonate is one component of a mixture of compounds that feature variable alkyl chain lengths aside from c12, mainly ranging from c10-c16."
zinc oxide,zinc oxide ores,zinc oxide is a constituent of cigarette filters.,a filter consisting of charcoal impregnated with zinc oxide and iron oxide removes significant amounts of hydrogen cyanide (hcn) and hydrogen sulfide (h2s) from tobacco smoke without affecting its flavor.,"zno + h2s → zns + h2o     zinc oxide crystallizes in two main forms, hexagonal wurtzite and cubic zincblende.","these compounds are also precursors to the commercially important non-ionic surfactants alkylphenol ethoxylates and nonylphenol ethoxylates, which are used in detergents, paints, pesticides, personal care products, and plastics.","zinc oxide (zno) is used as a pretreatment step to remove hydrogen sulfide (h2s) from natural gas following hydrogenation of any sulfur compounds prior to a methane reformer, which can poison the catalyst."
isopropylamine,ammonia,"'isopropylamine (mipa) is an organic compound, an amine.","these compounds are also precursors to the commercially important non-ionic surfactants alkylphenol ethoxylates and nonylphenol ethoxylates, which are used in detergents, paints, pesticides, personal care products, and plastics.",a filter consisting of charcoal impregnated with zinc oxide and iron oxide removes significant amounts of hydrogen cyanide (hcn) and hydrogen sulfide (h2s) from tobacco smoke without affecting its flavor.,zinc oxide is a constituent of cigarette filters.,"zinc oxide (zno) is used as a pretreatment step to remove hydrogen sulfide (h2s) from natural gas following hydrogenation of any sulfur compounds prior to a methane reformer, which can poison the catalyst."
terephthalic acid,p-xylene,this reaction proceeds through a p-toluic acid intermediate which is then oxidized to terephthalic acid.,"terephthalic acid is poorly soluble in water and alcohols; consequently, until about 1970 terephthalic acid was purified as its dimethyl ester.",a filter consisting of charcoal impregnated with zinc oxide and iron oxide removes significant amounts of hydrogen cyanide (hcn) and hydrogen sulfide (h2s) from tobacco smoke without affecting its flavor.,"terephthalic acid and its dimethyl ester have very low toxicity, with ld50s on the order of grams/kg (oral, mouse).",this method is developed to reduce concentration of 4-carboxybenzaldehyde content in final product terephthalic acid to 200-300 ppm without separate purification step.
hydrogen cyanide,methane,hydrogen cyanide has been absorbed into a carrier for use as a pesticide.,the new component was what we now know as hydrogen cyanide.,"some millipedes release hydrogen cyanide as a defense mechanism, as do certain insects, such as some burnet moths.","hydrogen cyanide has been discussed as a precursor to amino acids and nucleic acids, and is proposed to have played a part in the origin of life.","a solution of hydrogen cyanide in water, represented as hcn, is called hydrocyanic acid."
acetanilide,acetic anhydride,in the 19th century acetanilide was one of a large number of compounds used as experimental photographic developers.,"after several conflicting results over the ensuing fifty years, it was established in 1948 that acetanilide was mostly metabolized to paracetamol (usan: acetaminophen) in the human body, and that it was this metabolite that was responsible for the analgesic and antipyretic properties.","acetanilide is slightly soluble in water, and stable under most conditions.","a solution of hydrogen cyanide in water, represented as hcn, is called hydrocyanic acid.",acetanilide is an odourless solid chemical of leaf or flake-like appearance.
tert-butyl alcohol,isobutylene,"acetanilide is slightly soluble in water, and stable under most conditions.","tert-butyl alcohol is used as a solvent, ethanol denaturant, paint remover ingredient, and gasoline octane booster and oxygenate.",in the 19th century acetanilide was one of a large number of compounds used as experimental photographic developers.,"as a tertiary alcohol, tert-butyl alcohol is more resistant to oxidation and less reactive than the other isomers of butanol.","tert-butyl alcohol is a colorless solid, which melts near room temperature and has a camphor-like odor."
p-xylene,toluene,"ingestion can be prevented by not eating, drinking, or smoking when working with p-xylene.",p-xylene is an important chemical feedstock.,"tert-butyl alcohol is used as a solvent, ethanol denaturant, paint remover ingredient, and gasoline octane booster and oxygenate.",in the 19th century acetanilide was one of a large number of compounds used as experimental photographic developers.,p-xylene can cause issues with the central nervous system and if swallowed could cause chemical pneumonitis when breathed into the lungs.
urea,ammonia,p-xylene can cause issues with the central nervous system and if swallowed could cause chemical pneumonitis when breathed into the lungs.,"in grain and cotton crops, urea is often applied at the time of the last cultivation before planting.","urea is used in sncr and scr reactions to reduce the nox pollutants in exhaust gases from combustion from diesel, dual fuel, and lean-burn natural gas engines.","ammonium cyanate is urea.""","isocyanic acid results from the thermal decomposition of ammonium cyanate, which is in chemical equilibrium with urea: nh2conh2 → nh4nco → hnco + nh3 this reaction is at its worst when the urea solution is heated at low pressure, which happens when the solution is concentrated for prilling or granulation (see below)."
4-nitroaniline,4-chloronitrobenzene,"urea is used in sncr and scr reactions to reduce the nox pollutants in exhaust gases from combustion from diesel, dual fuel, and lean-burn natural gas engines.","in grain and cotton crops, urea is often applied at the time of the last cultivation before planting.","4-nitroaniline, p-nitroaniline or 1-amino-4-nitrobenzene is an organic compound with the formula c6h6n2o2.",p-xylene can cause issues with the central nervous system and if swallowed could cause chemical pneumonitis when breathed into the lungs.,"4-nitroaniline is particularly harmful to all aquatic organisms, and can cause long-term damage to the environment if released as a pollutant."
hydrazine,ammonia,  the majority use of hydrazine is as a precursor to blowing agents.,"like all hypochlorite-based routes, this method suffers from the fact that it produces an equivalent of salt for each equivalent of hydrazine.","the name ""hydrazine"" was coined by emil fischer in 1875; he was trying to produce organic compounds that consisted of mono-substituted hydrazine.",hydrazine is the most common and effective reducing agent used to convert graphene oxide (go) to reduced graphene oxide (rgo) via hydrothermal treatment.,the italian catalyst manufacturer acta has proposed using hydrazine as an alternative to hydrogen in fuel cells.
sodium bisulfate,sodium chloride,"sodium bisulfate was the primary active ingredient in crystal toilet bowl cleaners vanish and sani-flush, both now discontinued.","it is highly toxic to at least some echinoderms, but fairly harmless to most other life forms; sodium bisulfate is used in controlling outbreaks of crown-of-thorns starfish.","sodium bisulfate, also known as sodium hydrogen sulfate, is the sodium salt of the bisulfate anion, with the molecular formula nahso4.",the italian catalyst manufacturer acta has proposed using hydrazine as an alternative to hydrogen in fuel cells.,"solutions of sodium bisulfate are acidic, with a 1m solution having a ph of around 1."
acetonitrile,acrylonitrile,the n-c-c skeleton is linear with a short c-n distance of 1.16 Å. acetonitrile was first prepared in 1847 by the french chemist jean-baptiste dumas.,"in common with other nitriles, acetonitrile can be metabolised in microsomes, especially in the liver, to produce hydrogen cyanide, as was first shown by pozzani et al.","it is highly toxic to at least some echinoderms, but fairly harmless to most other life forms; sodium bisulfate is used in controlling outbreaks of crown-of-thorns starfish.","75-05-8), office of pollution prevention and toxics, u.s. environmental protection agency simulation of acetonitrile",acetonitrile is the chemical compound with the formula ch 3cn.
ethylene bromide,ethylene,the n-c-c skeleton is linear with a short c-n distance of 1.16 Å. acetonitrile was first prepared in 1847 by the french chemist jean-baptiste dumas.,"75-05-8), office of pollution prevention and toxics, u.s. environmental protection agency simulation of acetonitrile","in common with other nitriles, acetonitrile can be metabolised in microsomes, especially in the liver, to produce hydrogen cyanide, as was first shown by pozzani et al.","it is highly toxic to at least some echinoderms, but fairly harmless to most other life forms; sodium bisulfate is used in controlling outbreaks of crown-of-thorns starfish.",acetonitrile is the chemical compound with the formula ch 3cn.
ammonium hydrogen carbonate,carbon dioxide,"in common with other nitriles, acetonitrile can be metabolised in microsomes, especially in the liver, to produce hydrogen cyanide, as was first shown by pozzani et al.","it is highly toxic to at least some echinoderms, but fairly harmless to most other life forms; sodium bisulfate is used in controlling outbreaks of crown-of-thorns starfish.","75-05-8), office of pollution prevention and toxics, u.s. environmental protection agency simulation of acetonitrile",the n-c-c skeleton is linear with a short c-n distance of 1.16 Å. acetonitrile was first prepared in 1847 by the french chemist jean-baptiste dumas.,acetonitrile is the chemical compound with the formula ch 3cn.
diethyl sulfide,ethylene   ,"it is highly toxic to at least some echinoderms, but fairly harmless to most other life forms; sodium bisulfate is used in controlling outbreaks of crown-of-thorns starfish.",diethyl sulfide is used as a solvent for anhydrous minerals and in plating baths for gold and silver.,diethyl sulfide is a clear flammable chemical compound with a pungent garlic-like odor.,"diethyl sulfide is a by-product of the commercial production of ethanethiol, which is prepared by the reaction of ethylene with hydrogen sulfide over an alumina-based catalyst.","in common with other nitriles, acetonitrile can be metabolised in microsomes, especially in the liver, to produce hydrogen cyanide, as was first shown by pozzani et al."
diethylene glycol,ethylene oxide,diethylene glycol (deg) is an organic compound with the formula (hoch2ch2)2o.,"the physical properties of diethylene glycol make it an excellent counterfeit for pharmaceutical-grade glycerine (also called glycerol) or propylene glycol, and has caused many deaths in different countries.","diethyl sulfide is a by-product of the commercial production of ethanethiol, which is prepared by the reaction of ethylene with hydrogen sulfide over an alumina-based catalyst.","because of its adverse effects on humans, diethylene glycol is not allowed for use in food and drugs.","diethylene glycol is used in the manufacture of unsaturated polyester resins, polyurethanes, and plasticizers."
dipropylene glycol,propylene oxide,diethylene glycol (deg) is an organic compound with the formula (hoch2ch2)2o.,"dipropylene glycol finds many uses as a plasticizer, an intermediate in industrial chemical reactions, as a polymerization initiator or monomer, and as a solvent.","dipropylene glycol is a mixture of three isomeric chemical compounds, 4-oxa-2,6-heptandiol, 2-(2-hydroxy-propoxy)-propan-1-ol, and 2-(2-hydroxy-1-methyl-ethoxy)-propan-1-ol.",dipropylene glycol http://www.inchem.org/documents/sids/sids/25265-71-8.pdf,"because of its adverse effects on humans, diethylene glycol is not allowed for use in food and drugs."
calcium oxide,calcium carbonate,"by contrast, ""quicklime"" specifically applies to the single chemical compound calcium oxide.","calcium oxide (cao), commonly known as quicklime or burnt lime, is a widely used chemical compound.","dipropylene glycol finds many uses as a plasticizer, an intermediate in industrial chemical reactions, as a polymerization initiator or monomer, and as a solvent.",calcium oxide which survives processing without reacting in building products such as cement is called free lime.,dipropylene glycol http://www.inchem.org/documents/sids/sids/25265-71-8.pdf
propionic acid,ethylene,"propionic acid has physical properties intermediate between those of the smaller carboxylic acids, formic and acetic acids, and the larger fatty acids.",gastrointestinal toxicity in various species propionic acid technical data sheet,"in biogas plants, propionic acid is a common intermediate product, which is formed by fermenting propionic acid bacteria.","propionic acid displays the general properties of carboxylic acids: it can form amide, ester, anhydride, and chloride derivatives.","dipropylene glycol finds many uses as a plasticizer, an intermediate in industrial chemical reactions, as a polymerization initiator or monomer, and as a solvent."
methyl formate,methanol,"propionic acid has physical properties intermediate between those of the smaller carboxylic acids, formic and acetic acids, and the larger fatty acids.",gastrointestinal toxicity in various species propionic acid technical data sheet,"methyl formate, also called methyl methanoate, is the methyl ester of formic acid.",methyl formate has zero ozone depletion potential and zero global warming potential.,"methyl formate is used primarily to manufacture formamide, dimethylformamide, and formic acid."
methyl acetate,methanol,"methyl acetate, also known as meoac, acetic acid methyl ester or methyl ethanoate, is a carboxylate ester with the formula ch3cooch3.",methyl acetate has a solubility of 25% in water at room temperature.,gastrointestinal toxicity in various species propionic acid technical data sheet,"methyl acetate is occasionally used as a solvent, being weakly polar and lipophilic, but its close relative ethyl acetate is a more common solvent being less toxic and less soluble in water.","the conversion of methyl acetate back into its components, by an acid, is a first-order reaction with respect to the ester."
sodium sulfide,sodium sulfate,alkylation of sodium sulfide give thioethers: na2s + 2 rx → r2s + 2 nax even aryl halides participate in this reaction.,"sodium sulfide is the chemical compound with the formula na2s, or more commonly its hydrate na2s·9h2o.",methyl acetate has a solubility of 25% in water at room temperature.,"like sodium hydroxide, sodium sulfide is strongly alkaline and can cause skin burns.",these grades of sodium sulfide are marketed as 'sodium sulfide flakes'.
4-aminosalicylic acid,3-aminophenol,alkylation of sodium sulfide give thioethers: na2s + 2 rx → r2s + 2 nax even aryl halides participate in this reaction.,the main use for 4-aminosalicylic acid is for the treatment of tuberculosis infections.,methyl acetate has a solubility of 25% in water at room temperature.,these grades of sodium sulfide are marketed as 'sodium sulfide flakes'.,"sodium sulfide is the chemical compound with the formula na2s, or more commonly its hydrate na2s·9h2o."
sodium,sodium hydroxide,"the chemical abbreviation for sodium was first published in 1814 by jöns jakob berzelius in his system of atomic symbols, and is an abbreviation of the element's new latin name natrium, which refers to the egyptian natron, a natural mineral salt mainly consisting of hydrated sodium carbonate.","the most important sodium compounds are table salt (nacl), soda ash (na2co3), baking soda (nahco3), caustic soda (naoh), sodium nitrate (nano3), di- and tri-sodium phosphates, sodium thiosulfate (na2s2o3·5h2o), and borax (na2b4o7·10h2o).","from the weight of the sodium salt and the volume of air in the room, we easily calculate that one part by weight of air could not contain more than 1/20 millionth weight of sodium.",it has been estimated that such a decrease in sodium intake would lead to between 9 and 17% fewer cases of hypertension.,sodium has been detected in at least one comet; astronomers watching comet hale-bopp in 1997 observed a sodium tail consisting of neutral atoms (not ions) and extending to some 50 million kilometres behind the head.
4-chloroaniline,4-chloronitrobenzene,"the chemical abbreviation for sodium was first published in 1814 by jöns jakob berzelius in his system of atomic symbols, and is an abbreviation of the element's new latin name natrium, which refers to the egyptian natron, a natural mineral salt mainly consisting of hydrated sodium carbonate.",it has been estimated that such a decrease in sodium intake would lead to between 9 and 17% fewer cases of hypertension.,"4-chloroaniline is an important building block used in the chemical industry for the production of pesticides, drugs, and dyestuffs.","from the weight of the sodium salt and the volume of air in the room, we easily calculate that one part by weight of air could not contain more than 1/20 millionth weight of sodium.","4-chloroaniline is not prepared from aniline, which tends to overchlorinate."
citronellol,nerol ,citronellol is used as a raw material for the production of rose oxide.,"citronellol is a good mosquito repellent at short distances, but protection greatly lessens when the subject is slightly further from the source.","(+)-citronellol, which is found in citronella oils, including cymbopogon nardus (50%), is the more common isomer.",the united states fda considers citronellol as generally recognized as safe (gras) for food use.,"citronellol is used in perfumes and insect repellents, and as a mite attractant."
hydroxylamine,nitric oxide,"nh2oh reacts with chlorosulfonic acid to give hydroxylamine-o-sulfonic acid, a useful reagent for the synthesis of caprolactam.","""hydroxylamine.""",hydroxylamine is an inorganic compound with the formula nh2oh.,"hydroxylamine (nh2oh), or hydroxylamines (r-nhoh) can be reduced to amines.",hydroxylamine was first prepared as hydroxylamine hydrochloride in 1865 by the german chemist wilhelm clemens lossen (1838-1906); he reacted tin and hydrochloric acid in the presence of ethyl nitrate.
fumaric acid,maleic acid,fumaric acid is used in the manufacture of polyester resins and polyhydric alcohols and as a mordant for dyes.,"""hydroxylamine.""",  fumaric acid has been used as a food acidulant since 1946.,human skin naturally produces fumaric acid when exposed to sunlight.,"although it seems that a certain effectiveness exists (and many studies have confirmed the effect), more statistically powerful studies are necessary to provide better evidence of the effectiveness of fumaric acid esters in treatment of psoriasis (e.g."
o-aminophenol,2-nitrophenol,"""hydroxylamine.""",fumaric acid is used in the manufacture of polyester resins and polyhydric alcohols and as a mordant for dyes.,human skin naturally produces fumaric acid when exposed to sunlight.,"although it seems that a certain effectiveness exists (and many studies have confirmed the effect), more statistically powerful studies are necessary to provide better evidence of the effectiveness of fumaric acid esters in treatment of psoriasis (e.g.",  fumaric acid has been used as a food acidulant since 1946.
m-xylene,toluene,"although it seems that a certain effectiveness exists (and many studies have confirmed the effect), more statistically powerful studies are necessary to provide better evidence of the effectiveness of fumaric acid esters in treatment of psoriasis (e.g.","to convert m-xylene on an industrial scale to isophthalic acid, the two methyl groups are both catalytically oxidized to carboxyl groups.",  fumaric acid has been used as a food acidulant since 1946.,human skin naturally produces fumaric acid when exposed to sunlight.,fumaric acid is used in the manufacture of polyester resins and polyhydric alcohols and as a mordant for dyes.
copper gluconate,gluconic acid,"to convert m-xylene on an industrial scale to isophthalic acid, the two methyl groups are both catalytically oxidized to carboxyl groups.",  fumaric acid has been used as a food acidulant since 1946.,human skin naturally produces fumaric acid when exposed to sunlight.,  copper gluconate monograph at drugs.com,"side effects from too much copper gluconate may include breathing problems, chest pain, stomach upset, and rash or hives."
gluconic acid,glucose,"quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria.",the chemical structure of gluconic acid consists of a six-carbon chain with five hydroxyl groups terminating in a carboxylic acid group.,gluconic acid is an organic compound with molecular formula c6h12o7 and condensed structural formula hoch2(choh)4cooh.,"gluconic acid occurs naturally in fruit, honey, and wine.","the salts of gluconic acid are known as ""gluconates""."
aminopyridine,pyridine,aminopyridine may refer to any of several chemical compounds: 2-aminopyridine 3-aminopyridine 4-aminopyridine,"the salts of gluconic acid are known as ""gluconates"".","quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria.",gluconic acid is an organic compound with molecular formula c6h12o7 and condensed structural formula hoch2(choh)4cooh.,the chemical structure of gluconic acid consists of a six-carbon chain with five hydroxyl groups terminating in a carboxylic acid group.
sulfur monochloride,octasulfur,aminopyridine may refer to any of several chemical compounds: 2-aminopyridine 3-aminopyridine 4-aminopyridine,gluconic acid is an organic compound with molecular formula c6h12o7 and condensed structural formula hoch2(choh)4cooh.,"quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria.","some alternative names for this compound are sulfur monochloride (the name implied by its empirical formula, scl), disulphur dichloride (british english spelling) and sulphur monochloride (british english spelling).","the salts of gluconic acid are known as ""gluconates""."
trichloroacetaldehyde,acetaldehyde,"quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria.",gluconic acid is an organic compound with molecular formula c6h12o7 and condensed structural formula hoch2(choh)4cooh.,"chloral, also known as trichloroacetaldehyde or trichloroethanal, is the organic compound with the formula cl3ccho.",aminopyridine may refer to any of several chemical compounds: 2-aminopyridine 3-aminopyridine 4-aminopyridine,"some alternative names for this compound are sulfur monochloride (the name implied by its empirical formula, scl), disulphur dichloride (british english spelling) and sulphur monochloride (british english spelling)."
p-dichlorobenzene,benzene,aminopyridine may refer to any of several chemical compounds: 2-aminopyridine 3-aminopyridine 4-aminopyridine,"chloral, also known as trichloroacetaldehyde or trichloroethanal, is the organic compound with the formula cl3ccho.","some alternative names for this compound are sulfur monochloride (the name implied by its empirical formula, scl), disulphur dichloride (british english spelling) and sulphur monochloride (british english spelling).",gluconic acid is an organic compound with molecular formula c6h12o7 and condensed structural formula hoch2(choh)4cooh.,"quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria."
tetrachloromethane,methane,solid tetrachloromethane has two polymorphs: crystalline ii below −47.5 °c (225.6 k) and crystalline i above −47.5 °c.,"some alternative names for this compound are sulfur monochloride (the name implied by its empirical formula, scl), disulphur dichloride (british english spelling) and sulphur monochloride (british english spelling).","carbon tetrachloride, also known by many other names (the most notable being tetrachloromethane, also recognized by the iupac), carbon tet in the cleaning industry, halon-104 in firefighting and refrigerant-10 in hvacr, is an organic compound with the chemical formula ccl4.","quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria.",aminopyridine may refer to any of several chemical compounds: 2-aminopyridine 3-aminopyridine 4-aminopyridine
"1,2,3-trichloropropane",propene,aminopyridine may refer to any of several chemical compounds: 2-aminopyridine 3-aminopyridine 4-aminopyridine,"quinine gluconate is a salt between gluconic acid and quinine, which is used for intramuscular injection in the treatment of malaria.","the state of alaska has promulgated standards establishing cleanup levels for 1,2,3-trichloropropane contamination in soils and groundwater.","other reported methods for producing 1,2,3-trichloropropane include the addition of chlorine to allyl chloride, reaction of thionyl chloride with glycerol, and the reaction of phosphorus pentachloride with either 1,3- or 2,3-dichloropropanol.","some alternative names for this compound are sulfur monochloride (the name implied by its empirical formula, scl), disulphur dichloride (british english spelling) and sulphur monochloride (british english spelling)."
benzyl alcohol,toluene,"the benzyl group is often abbreviated ""bn"" (not to be confused with ""bz"" which is used for benzoyl), thus benzyl alcohol is denoted as bnoh.","this is an example of a ritter reaction: c6h5ch2oh + ncchch2 → c6h5ch2n(h)c(o)chch2   benzyl alcohol is used as a general solvent for inks, waxes, shellacs, paints, lacquers, and epoxy resin coatings.","other reported methods for producing 1,2,3-trichloropropane include the addition of chlorine to allyl chloride, reaction of thionyl chloride with glycerol, and the reaction of phosphorus pentachloride with either 1,3- or 2,3-dichloropropanol.",benzyl alcohol has low acute toxicity with an ld50 of 1.2 g/kg in rats.,benzyl alcohol has been used as a dielectric solvent for the dielectrophoretic reconfiguration of nanowires.
